Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,
1 odontologa/raly,2,3,4,5,6 Josue El salva,7 Josue el salva,,,,
8 juego panama,9 Brasil,10 Brasil,11 Brasil,12 Brasil,13,14,,,,
15,16,17,18,19,20,,,,,
,,,,,,,,,,
examen raly,45,,Taco Bell (3),24,,fondo de invitacion,105,,total global:,1364
vuelo salvador,75,,Lung Fung,45,,,,,,
comida salvador,60,,makoto,45,,,,,,
estadia el salvador ,40,,Fonda random (2),20,,,,,,
juego de panama ,100,,Arepas ,6,,,,,,
vuelo a brazil,150,,salchipapas (2),16,,,,,,
estadia brasil ,200,,ribs,16,,,,,,
comida brasil,175,,comida total:,172,,,,,,
llaveros irl,10,,,,,,,,,
dermatologia,60,,,,,,,,,
Psiquiatra ,125,,,,,,,,,
recuerdo latam,12,,,,,,,,,
Odontologa,35,,,,,,,,,
services total:,1087,,,,,,,,,
